00000000-0000-0000-0400-0080000000f7 | 2015-03-20 22:41:46,235 | INFO | serverlogger | Info Message generated on server
00000000-0000-0000-0400-0080000000f7 | 2015-03-20 22:41:46,843 | FATAL | jsLogger | client log message
00000000-0000-0000-0400-0080000000f6 | 2015-03-20 22:55:11,792 | INFO | serverlogger | Info Message generated on server
00000000-0000-0000-0400-0080000000f6 | 2015-03-20 22:55:12,293 | FATAL | jsLogger | client log message
00000000-0000-0000-3900-0080000000f9 | 2015-03-20 23:10:25,834 | INFO | serverlogger | Info Message generated on server
00000000-0000-0000-3900-0080000000f9 | 2015-03-20 23:10:26,334 | FATAL | jsLogger | client log message
00000000-0000-0000-3b00-0080000000f9 | 2015-03-20 23:10:39,338 | INFO | serverlogger | Info Message generated on server
00000000-0000-0000-3b00-0080000000f9 | 2015-03-20 23:10:39,383 | FATAL | jsLogger | client log message
00000000-0000-0000-3f00-0080000000f9 | 2015-03-20 23:11:08,469 | INFO | serverlogger | Info Message generated on server
00000000-0000-0000-3f00-0080000000f9 | 2015-03-20 23:11:08,510 | FATAL | jsLogger | client log message
00000000-0000-0000-4300-0080000000f9 | 2015-03-20 23:11:38,410 | INFO | serverlogger | Info Message generated on server
00000000-0000-0000-4300-0080000000f9 | 2015-03-20 23:11:38,445 | FATAL | jsLogger | client log message
00000000-0000-0000-4600-0080000000f9 | 2015-03-20 23:14:20,692 | INFO | serverlogger | Info Message generated on server
00000000-0000-0000-4600-0080000000f9 | 2015-03-20 23:14:20,710 | FATAL | jsLogger | client log message
7e464266-e971-460d-bb86-3d0a17af128f | 2015-03-20 23:39:31,090 | INFO | serverlogger | Info Message generated on server
7e464266-e971-460d-bb86-3d0a17af128f | 2015-03-20 23:39:31,711 | FATAL | jsLogger | client log message
9b6b5907-1d55-4355-8b0e-600c7c9140fb | 2015-03-20 23:39:43,337 | INFO | serverlogger | Info Message generated on server
9b6b5907-1d55-4355-8b0e-600c7c9140fb | 2015-03-20 23:39:43,380 | FATAL | jsLogger | client log message
