2015-03-20 23:42:25,556 | INFO | serverlogger | Info Message generated on server
2015-03-20 23:42:26,057 | FATAL | jsLogger | client log message
2015-03-20 23:42:28,305 | FATAL | jsLogger | client log message with new request header
2015-03-20 23:42:40,513 | INFO | serverlogger | Info Message generated on server
2015-03-20 23:42:40,529 | FATAL | jsLogger | client log message
2015-03-20 23:42:42,339 | FATAL | jsLogger | client log message with new request header
2015-03-20 23:42:47,342 | INFO | serverlogger | Info Message generated on server
2015-03-20 23:42:47,364 | FATAL | jsLogger | client log message
2015-03-20 23:42:48,764 | FATAL | jsLogger | client log message with new request header
2015-03-20 23:43:29,130 | INFO | serverlogger | Info Message generated on server
2015-03-20 23:43:29,159 | FATAL | jsLogger | client log message
2015-03-20 23:43:30,333 | FATAL | jsLogger | client log message with new request header
