2013-09-14 15:12:29,587 | INFO | serverlogger | Info Message generated on server
2013-09-14 15:12:37,068 | INFO | serverlogger | Info Message generated on server
2013-09-14 15:15:26,290 | INFO | serverlogger | Info Message generated on server
2013-09-14 15:15:29,396 | INFO | serverlogger | Info Message generated on server
2013-09-14 15:15:37,114 | INFO | serverlogger | Info Message generated on server
2013-09-14 15:16:42,520 | INFO | serverlogger | Info Message generated on server
2013-09-14 15:16:45,491 | INFO | serverlogger | Info Message generated on server
2013-09-14 15:16:54,878 | INFO | serverlogger | Info Message generated on server
2013-09-14 15:18:05,481 | INFO | serverlogger | Info Message generated on server
2013-09-14 15:19:29,176 | INFO | serverlogger | Info Message generated on server
2013-09-14 15:19:35,325 | INFO | serverlogger | Info Message generated on server
2013-09-14 15:21:19,448 | INFO | serverlogger | Info Message generated on server
2013-09-14 15:21:25,724 | INFO | serverlogger | Info Message generated on server
2013-09-14 15:21:57,737 | INFO | serverlogger | Info Message generated on server
2013-09-14 15:26:46,736 | INFO | serverlogger | Info Message generated on server
2013-09-14 15:26:46,827 | FATAL | jsLogger | log message
2013-09-14 15:26:56,451 | INFO | serverlogger | Info Message generated on server
2013-09-14 15:26:56,474 | FATAL | jsLogger | log message
